box_id,symbol,stem,split,image_path,preview_path,cut_global,cut_time,bar_b0,bar_b1,width_bars,yolo_xc,yolo_yc,yolo_w,yolo_h,box_height_pct,box_right_frac,win_mode,box_index,n_boxes_on_image,spread_chg8,fast_spread,full_spread,ma_spread_pct,in_sample,owner_side,owner_note
AAVE_USDT_SWAP_008730__b0,AAVE_USDT_SWAP,AAVE_USDT_SWAP_008730,train,datasets/_deprecated_pretip/dense_owner_v11/images/train/AAVE_USDT_SWAP_008730.png,previews/AAVE_USDT_SWAP_008730__b0.jpg,8676,2025-08-31 23:45:00+00:00,136,145,10,0.701941,0.328604,0.043891,0.121803,0.008359,0.7275,end_incl,0,2,,,,,1,short,
AIXBT_USDT_SWAP_024098__b0,AIXBT_USDT_SWAP,AIXBT_USDT_SWAP_024098,train,datasets/_deprecated_pretip/dense_owner_v11/images/train/AIXBT_USDT_SWAP_024098.png,previews/AIXBT_USDT_SWAP_024098__b0.jpg,23959,2026-02-08 03:15:00+00:00,47,60,14,0.271181,0.278098,0.063269,0.069091,0.008841,0.3025,end_incl,0,1,,,,,1,short,
ANIME_USDT_SWAP_006930__b0,ANIME_USDT_SWAP,ANIME_USDT_SWAP_006930,train,datasets/_deprecated_pretip/dense_owner_v11/images/train/ANIME_USDT_SWAP_006930.png,previews/ANIME_USDT_SWAP_006930__b0.jpg,6795,2025-08-14 09:30:00+00:00,56,64,9,0.304918,0.235516,0.036143,0.121353,0.018994,0.3225,end_incl,0,1,,,,,1,short,
APT_USDT_SWAP_004930__b1,APT_USDT_SWAP,APT_USDT_SWAP_004930,train,datasets/_deprecated_pretip/dense_owner_v11/images/train/APT_USDT_SWAP_004930.png,previews/APT_USDT_SWAP_004930__b1.jpg,4891,2025-07-23 13:30:00+00:00,150,160,11,0.772888,0.320286,0.049445,0.144882,0.030444,0.8025,end_incl,1,2,,,,,1,short,
ATH_USDT_SWAP_015130__b0,ATH_USDT_SWAP,ATH_USDT_SWAP_015130,train,datasets/_deprecated_pretip/dense_owner_v11/images/train/ATH_USDT_SWAP_015130.png,previews/ATH_USDT_SWAP_015130__b0.jpg,14983,2025-11-06 15:30:00+00:00,45,52,8,0.250588,0.61905,0.034913,0.063118,0.012183,0.2625,end_incl,0,2,,,,,1,short,
AUCTION_USDT_SWAP_010330__b1,AUCTION_USDT_SWAP,AUCTION_USDT_SWAP_010330,train,datasets/_deprecated_pretip/dense_owner_v11/images/train/AUCTION_USDT_SWAP_010330.png,previews/AUCTION_USDT_SWAP_010330__b1.jpg,10328,2025-09-19 04:00:00+00:00,189,197,9,0.960831,0.260611,0.039716,0.142344,0.009724,0.9875,end_incl,1,2,,,,,1,short,
AZTEC_USDT_SWAP_007330__b0,AZTEC_USDT_SWAP,AZTEC_USDT_SWAP_007330,train,datasets/_deprecated_pretip/dense_owner_v11/images/train/AZTEC_USDT_SWAP_007330.png,previews/AZTEC_USDT_SWAP_007330__b0.jpg,7185,2026-04-27 06:45:00+00:00,45,54,10,0.252705,0.266326,0.044044,0.129969,0.017512,0.2725,end_incl,0,1,,,,,1,short,
A_USDT_SWAP_014730__b0,A_USDT_SWAP,A_USDT_SWAP_014730,train,datasets/_deprecated_pretip/dense_owner_v11/images/train/A_USDT_SWAP_014730.png,previews/A_USDT_SWAP_014730__b0.jpg,14599,2025-11-02 15:00:00+00:00,57,68,12,0.315756,0.143125,0.054081,0.079281,0.014642,0.3425,end_incl,0,2,,,,,1,short,
A_USDT_SWAP_014730__b1,A_USDT_SWAP,A_USDT_SWAP_014730,train,datasets/_deprecated_pretip/dense_owner_v11/images/train/A_USDT_SWAP_014730.png,previews/A_USDT_SWAP_014730__b1.jpg,14645,2025-11-03 02:30:00+00:00,103,114,12,0.543054,0.213565,0.05386,0.110324,0.020644,0.5725,end_incl,1,2,,,,,1,short,
BEAT_USDT_SWAP_000530__b0,BEAT_USDT_SWAP,BEAT_USDT_SWAP_000530,train,datasets/_deprecated_pretip/dense_owner_v11/images/train/BEAT_USDT_SWAP_000530.png,previews/BEAT_USDT_SWAP_000530__b0.jpg,451,2025-11-17 09:00:00+00:00,113,120,8,0.584908,0.46362,0.032052,0.088358,0.031226,0.6025,end_incl,0,1,,,,,1,short,
